+7 (3652) 777007;ПЛАТИНОВЫЙ;75990 Руб.;г. Симферополь|Республика Крым;[ AAA-XXX - 3 одинаковых в начале ] [ AAA-BB-A - 4 одинаковых + 2 одинаковых 2 ] [ AAA-XX-A - 4 одинаковых цифры 3 ] [ XXX-00-X - Первые десять в тысяче ] [ AAA-00-A - Четыре одинаковых с 0 ] 
+7 (3652) 777027;СЕРЕБРЯНЫЙ;5990 Руб.;г. Симферополь|Республика Крым;[ AAA-XXX - 3 одинаковых в начале ] [ AAA-XX-A - 4 одинаковых цифры 3 ] 
+7 (3652) 777044;ПРОСТОЙ;990 Руб.;г. Симферополь|Республика Крым;[ AAA-XXX - 3 одинаковых в начале ] 
+7 (3652) 777117;ЗОЛОТОЙ;15990 Руб.;г. Симферополь|Республика Крым;[ AAA-XXX - 3 одинаковых в начале ] [ AAA-BB-A - 4 одинаковых + 2 одинаковых 2 ] [ AAA-XX-A - 4 одинаковых цифры 3 ] 
+7 (3652) 777777;ЭКСКЛЮЗИВНЫЙ;ДОГОВОРНАЯ;г. Симферополь|Республика Крым;[ AAAAAA - Все одинаковые цифры ] [ AAA-BBB - Симметрия ] [ AA-BB-CC - Пары ] [ AA-BB-AA - Бабочка 1 ] [ ABA-ABA - Бабочка 2 ] [ A-BBBB-A - Бабочка 3 ] [ AB-CC-BA - Бабочка 4 ] [ AAAAA-X - 5 одинаковых с начала ] [ X-AAAAA - 5 одинаковых в конце ] [ AAAA-XX - 4 с начала ] [ X-AAAA-X - 4 одинаковых посередине ] [ XX-AAAA - 4 одинаковых в конце ] [ AAA-XXX - 3 одинаковых в начале ] [ XXX-AAA - 3 одинаковых в конце ] [ AAAA-BB - 4 одинаковых + 2 одинаковых 1 ] [ AAA-BB-A - 4 одинаковых + 2 одинаковых 2 ] [ A-BB-AAA - 4 одинаковых + 2 одинаковых 3 ] [ BB-AAAA - 4 одинаковых + 2 одинаковых 4 ] [ AA-BBB-A - 3 одинаковых + 3 одинаковых 1 ] [ A-BBB-AA - 3 одинаковых + 3 одинаковых 2 ] [ A-B-AA-BB - 3 одинаковых + 3 одинаковых 3 ] [ AA-B-A-BB - 3 одинаковых + 3 одинаковых 4 ] [ ABC-ABC - Точное повторение ] [ A-X-AAAA - 5 одинаковых цифр 1 ] [ AA-X-AAA - 5 одинаковых цифр 2 ] [ AAA-X-AA - 5 одинаковых цифр 3 ] [ AAAA-X-A - 5 одинаковых цифр 4 ] [ A-XX-AAA - 4 одинаковых цифры 1 ] [ AA-XX-AA - 4 одинаковых цифры 2 ] [ AAA-XX-A - 4 одинаковых цифры 3 ] [ A-X-A-X-AA - 4 одинаковых цифры 4 ] [ AA-X-A-X-A - 4 одинаковых цифры 5 ] [ ABB-ABB - Два по три ] [ AXA-AXA - 4 одинаковых цифры 6 ] [ AB-AB-AB - Три пары ] [ AB-AB-XX - Две пары ] [ AB-X-AB-X - Две пары ] [ AB-XX-AB - Две пары ] [ X-AA-X-AA - Четыре парами ] [ XX-AB-AB - Две пары ] 
+7 (495) 2360003;ЗОЛОТОЙ;15990 Руб.;г. Москва;[ XXX-000-X - Первый десяток ] 
+7 (495) 2360013;ПРОСТОЙ;990 Руб.;г. Москва;
+7 (495) 2360020;СЕРЕБРЯНЫЙ;5990 Руб.;г. Москва;[ XX-X00-X0 - Красивые сочетания с нулями 6 ] 
+7 (800) 4550000;ПЛАТИНОВЫЙ;75990 Руб.;Российская Федерация, за исключением Еврейской автономной области;[ XXX-AAAA - 4 одинаковых в конце ] [ XXXX-AAA - 3 одинаковых в конце ] [ XXX-AB-AB - Пары 3 ] [ XXX-AB-BA - Пары 4 ] [ XXX-AA-BB - Два красивых сочетания в номере 3 ] [ XX-X0-X00 - Красивые сочетания с нулями 5 ] [ XX-X00-X0 - Красивые сочетания с нулями 6 ] [ XXX-X000 - Красивые сочетания с нулями 8 ] [ XXX-000-X - Первый десяток ] 
+7 (800) 4550001;ЗОЛОТОЙ;15990 Руб.;Российская Федерация, за исключением Еврейской автономной области;[ XXX-000-X - Первый десяток ] 
